         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.078    0.009 pyplot.py:833(gcf)
        1    0.000    0.000    0.027    0.027 quiver.py:1(<module>)
       12    0.000    0.000    0.000    0.000 core.py:3730(filled)
      144    0.000    0.000    0.000    0.000 function_base.py:2141(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
       28    0.000    0.000    0.000    0.000 pathlib.py:839(stem)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 dviread.py:177(Dvi)
       49    0.000    0.000    0.000    0.000 linalg.py:107(_makearray)
       86    0.000    0.000    0.000    0.000 pyparsing.py:4074(<genexpr>)
       65    0.000    0.000    0.000    0.000 types.py:171(__get__)
       54    0.000    0.000    0.000    0.000 transforms.py:2218(<lambda>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:1882(Parser)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
       58    0.000    0.000    0.000    0.000 axis.py:752(get_transform)
        1    0.000    0.000    0.003    0.003 uuid.py:1(<module>)
       62    0.000    0.000    0.000    0.000 fromnumeric.py:1816(nonzero)
       27    0.000    0.000    0.000    0.000 transforms.py:365(intervaly)
       72    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
       47    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
      101    0.000    0.000    0.000    0.000 traceback.py:292(walk_stack)
      167    0.000    0.000    0.000    0.000 path.py:200(vertices)
        1    0.000    0.000    0.001    0.001 _base.py:2955(_update_title_position)
        6    0.000    0.000    0.000    0.000 _pylab_helpers.py:78(destroy_all)
      436    0.000    0.000    0.000    0.000 {method 'get_direction' of 'gi.ArgInfo' objects}
       44    0.000    0.000    0.000    0.000 axis.py:316(set_label2)
      217    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      145    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        3    0.000    0.000    0.003    0.001 __init__.py:46(_get_running_interactive_framework)
        2    0.000    0.000    0.000    0.000 _base.py:1847(apply_aspect)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    1.391    1.391 8085Assembler.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.078    0.078 pyplot.py:665(figure)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.000    0.000 legend_handler.py:657(__init__)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fdbf8fba160}
        5    0.000    0.000    0.000    0.000 deprecation.py:418(make_keyword_only)
        3    0.000    0.000    0.000    0.000 mathtext.py:406(__init__)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4219(__init__)
        1    0.000    0.000    0.035    0.035 polar.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3181(parseImpl)
       20    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      146    0.000    0.000    0.000    0.000 linalg.py:112(isComplexType)
        1    0.000    0.000    0.057    0.057 legend.py:1(<module>)
        3    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        8    0.000    0.000    0.000    0.000 transforms.py:392(bounds)
       30    0.000    0.000    0.000    0.000 locale.py:651(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.000    0.000 _backend_gtk.py:1(<module>)
       31    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
       35    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
        8    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 transforms.py:869(update_from_path)
        5    0.000    0.000    0.000    0.000 PngImagePlugin.py:729(putchunk)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1313(wrapper)
       12    0.000    0.000    0.000    0.000 _base.py:889(get_xaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 Gdk.py:167(Window)
        1    0.000    0.000    0.019    0.019 ImageFile.py:474(_save)
       82    0.000    0.000    0.000    0.000 figure.py:2381(_set_dpi)
       97    0.000    0.000    0.000    0.000 linalg.py:125(_realType)
       10    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
       51    0.000    0.000    0.000    0.000 transforms.py:2602(get_matrix)
      180    0.000    0.000    0.000    0.000 text.py:861(get_text)
        1    0.000    0.000    0.150    0.150 collections.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _base.py:2940(<genexpr>)
       93    0.000    0.000    0.000    0.000 inspect.py:1720(_signature_get_user_defined_method)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5789(_makeTags)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
       18    0.000    0.000    0.000    0.000 markers.py:253(__bool__)
        1    0.000    0.000    0.003    0.003 subprocess.py:10(<module>)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4824(__init__)
      150    0.000    0.000    0.000    0.000 __init__.py:826(<listcomp>)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4669(parseImpl)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
       61    0.000    0.000    0.000    0.000 _methods.py:41(_amin)
       21    0.000    0.000    0.000    0.000 patches.py:739(_convert_units)
       28    0.000    0.000    0.000    0.000 units.py:56(_is_natively_supported)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
      327    0.000    0.000    0.000    0.000 {method 'get_tag' of 'gi.TypeInfo' objects}
      104    0.000    0.000    0.000    0.000 docstring.py:92(do_copy)
      130    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
       31    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
      100    0.000    0.000    0.000    0.000 path.py:214(codes)
       21    0.000    0.000    0.000    0.000 artist.py:1171(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _cm.py:158(<dictcomp>)
       17    0.000    0.000    0.000    0.000 patches.py:331(_set_edgecolor)
      282    0.000    0.000    0.000    0.000 pyparsing.py:3128(<genexpr>)
       16    0.000    0.000    0.001    0.000 ticker.py:2740(__init__)
       48    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(eigvals)
       32    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1168(make_dataclass)
       32    0.000    0.000    0.002    0.000 __init__.py:620(__init__)
       61    0.000    0.000    0.000    0.000 font_manager.py:1109(get_default_size)
        1    0.000    0.000    0.002    0.002 subprocess.py:736(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
       59    0.000    0.000    0.000    0.000 {built-in method math.cos}
        1    0.000    0.000    0.013    0.013 cm.py:1(<module>)
        3    0.000    0.000    0.142    0.047 8085Assembler.py:501(createInstructionObject)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:3628(round_)
        2    0.000    0.000    0.000    0.000 pkgutil.py:503(extend_path)
        4    0.000    0.000    0.000    0.000 spines.py:229(_adjust_location)
        4    0.000    0.000    0.000    0.000 cm.py:555(norm)
        1    0.000    0.000    0.110    0.110 _base.py:3013(draw)
        1    0.000    0.000    0.004    0.004 qt_compat.py:1(<module>)
       16    0.000    0.000    0.000    0.000 scale.py:582(scale_factory)
       11    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
    47/33    0.000    0.000    0.000    0.000 transforms.py:2380(_invalidate_internal)
       18    0.000    0.000    0.000    0.000 lines.py:690(_transform_path)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diag)
       48    0.000    0.000    0.000    0.000 function_base.py:2189(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:62(__init__)
        1    0.000    0.000    0.019    0.019 textpath.py:1(<module>)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2771(__init__)
      315    0.000    0.000    0.000    0.000 {built-in method math.factorial}
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method atexit.register}
       73    0.000    0.000    0.000    0.000 {method 'get_class_struct' of 'ObjectInfo' objects}
       72    0.000    0.000    0.000    0.000 lines.py:1161(set_markeredgecolor)
       47    0.000    0.000    0.000    0.000 backend_bases.py:997(get_hatch_path)
       18    0.000    0.000    0.001    0.000 pyparsing.py:4762(parseImpl)
       37    0.000    0.000    0.000    0.000 rcsetup.py:438(_validate_linestyle)
        1    0.000    0.000    0.008    0.008 _internal.py:1(<module>)
       38    0.000    0.000    0.000    0.000 spines.py:556(__getitem__)
       97    0.000    0.000    0.000    0.000 cycler.py:165(keys)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:68(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
        1    0.000    0.000    0.004    0.004 JpegImagePlugin.py:34(<module>)
       18    0.000    0.000    0.000    0.000 {method 'get_values' of 'gi.EnumInfo' objects}
        3    0.000    0.000    0.002    0.001 patches.py:2159(pprint_styles)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:602(Axis)
       48    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
        1    0.000    0.000    0.027    0.027 Image.py:2025(save)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
       26    0.000    0.000    0.000    0.000 backend_bases.py:869(set_alpha)
        1    0.000    0.000    0.000    0.000 __init__.py:161(_get_version)
        1    0.000    0.000    0.140    0.140 backend_bases.py:1595(wrapper)
        1    0.000    0.000    0.000    0.000 colors.py:61(__init__)
        1    0.000    0.000    0.001    0.001 markers.py:1(<module>)
       31    0.000    0.000    0.000    0.000 inspect.py:1838(_signature_is_builtin)
       49    0.000    0.000    0.000    0.000 linalg.py:102(get_linalg_error_extobj)
       26    0.000    0.000    0.000    0.000 os.py:748(encode)
        3    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.cleanup_path}
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:135(__init__)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2583(__hash__)
        1    0.000    0.000    0.058    0.058 art3d.py:5(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       25    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(full_like)
        1    0.000    0.000    0.002    0.002 secrets.py:1(<module>)
       78    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1854(resetCache)
       15    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
       72    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:581(_ReducedHCT_Element)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.000    0.000 path.py:805(circle)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1648(FigureCanvasBase)
       75    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       71    0.000    0.000    0.000    0.000 pyparsing.py:2427(leaveWhitespace)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
        3    0.000    0.000    0.114    0.038 pyplot.py:2802(scatter)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4830(parseImpl)
       11    0.000    0.000    0.000    0.000 text.py:365(<listcomp>)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:1862(get_aliased_and_aliases)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
       40    0.000    0.000    0.000    0.000 pathlib.py:728(__fspath__)
        1    0.000    0.000    0.001    0.001 pyplot.py:2006(get_plot_commands)
       42    0.000    0.000    0.000    0.000 transforms.py:2226(transform_non_affine)
       12    0.000    0.000    0.000    0.000 module.py:114(__init__)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:34(<module>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:669(_get_field)
        1    0.000    0.000    0.033    0.033 axis.py:1(<module>)
      129    0.000    0.000    0.000    0.000 __init__.py:269(wrapper)
        6    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
        6    0.000    0.000    0.000    0.000 colors.py:1479(make_norm_from_scale)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2880(parseImpl)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1689(__init__)
       57    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:399(ImageFileDirectory_v2)
       19    0.000    0.000    0.000    0.000 patches.py:842(get_bbox)
        1    0.000    0.000    0.006    0.006 axis.py:2073(_update_label_position)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 8085Assembler.py:485(parseFileStoreToMemory)
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       14    0.000    0.000    0.000    0.000 axis.py:1437(update_units)
        2    0.000    0.000    0.000    0.000 types.py:69(new_class)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:289(Colorbar)
       69    0.000    0.000    0.000    0.000 artist.py:604(get_gid)
       23    0.000    0.000    0.002    0.000 overrides.py:206(decorator)
        6    0.000    0.000    0.001    0.000 dataclasses.py:375(_create_fn)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
       55    0.000    0.000    0.000    0.000 _methods.py:53(_any)
        1    0.000    0.000    0.050    0.050 offsetbox.py:1(<module>)
       11    0.000    0.000    0.003    0.000 pyparsing.py:1895(parseString)
        1    0.000    0.000    0.010    0.010 _base.py:741(_init_axis)
       44    0.000    0.000    0.000    0.000 transforms.py:1363(_iter_break_from_left_to_right)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2278(__or__)
        1    0.000    0.000    0.008    0.008 axis.py:2013(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      136    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
        3    0.000    0.000    0.000    0.000 pathlib.py:1098(home)
       36    0.000    0.000    0.000    0.000 backend_agg.py:312(points_to_pixels)
       12    0.000    0.000    0.001    0.000 util.py:73(find_spec)
       10    0.000    0.000    0.000    0.000 version.py:474(_cmpkey)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {method 'get_array_length' of 'gi.TypeInfo' objects}
       28    0.000    0.000    0.000    0.000 pathlib.py:1059(_make_child_relpath)
       10    0.000    0.000    0.000    0.000 axis.py:1979(_make_getset_interval)
        1    0.000    0.000    0.004    0.004 axis.py:2342(_update_label_position)
       12    0.000    0.000    0.000    0.000 markers.py:688(_set_tickright)
        1    0.000    0.000    0.001    0.001 figure.py:181(FigureBase)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       98    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:4468(streamline)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
       15    0.000    0.000    0.000    0.000 deprecation.py:244(__set_name__)
        1    0.000    0.000    0.000    0.000 posixpath.py:396(_joinrealpath)
        6    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       25    0.000    0.000    0.000    0.000 core.py:1316(_replace_dtype_fields)
        3    0.000    0.000    0.000    0.000 deprecation.py:459(<listcomp>)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2537(streamline)
      306    0.000    0.000    0.000    0.000 __init__.py:688(__iter__)
      218    0.000    0.000    0.000    0.000 {method 'get_destroy' of 'gi.ArgInfo' objects}
       28    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        4    0.000    0.000    0.000    0.000 axis.py:1087(<listcomp>)
      181    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       83    0.000    0.000    0.000    0.000 {method 'is_a' of 'gobject.GType' objects}
     20/6    0.000    0.000    0.001    0.000 pyparsing.py:4443(parseImpl)
       20    0.000    0.000    0.000    0.000 module.py:254(get_introspection_module)
      186    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        1    0.000    0.000    0.004    0.004 version.py:4(<module>)
       18    0.000    0.000    0.000    0.000 transforms.py:2769(get_transformed_points_and_affine)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:27(<module>)
        4    0.000    0.000    0.000    0.000 cm.py:342(__init__)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5081(__init__)
       49    0.000    0.000    0.000    0.000 linalg.py:200(_assert_stacked_square)
      414    0.000    0.000    0.000    0.000 {method 'is_constructor' of 'gi.FunctionInfo' objects}
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
        1    0.000    0.000    0.111    0.111 figure.py:2779(draw)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:412(_construct_lookups)
        1    0.000    0.000    0.002    0.002 financial.py:1(<module>)
       29    0.000    0.000    0.000    0.000 pathlib.py:804(name)
       67    0.000    0.000    0.000    0.000 fromnumeric.py:2709(_amin_dispatcher)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {built-in method gi._gi.register_interface_info}
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       16    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
        4    0.000    0.000    0.000    0.000 cm.py:259(get_cmap)
       78    0.000    0.000    0.000    0.000 core.py:1363(getmask)
        3    0.000    0.000    0.007    0.002 __init__.py:1409(inner)
       78    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
      130    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      2/1    0.000    0.000    0.110    0.110 image.py:114(_draw_list_compositing_images)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       28    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
       60    0.000    0.000    0.000    0.000 patches.py:2193(_register_style)
       30    0.000    0.000    0.001    0.000 pathlib.py:1130(glob)
       22    0.000    0.000    0.000    0.000 __init__.py:1661(safe_first_element)
        1    0.000    0.000    0.000    0.000 subprocess.py:984(communicate)
       30    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       20    0.000    0.000    0.000    0.000 _base.py:74(wrapper)
       18    0.000    0.000    0.000    0.000 transforms.py:53(_make_str_method)
        1    0.000    0.000    0.002    0.002 _base.py:1126(_gen_axes_spines)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5437(_escapeRegexRangeChars)
       17    0.000    0.000    0.001    0.000 ast.py:30(parse)
       34    0.000    0.000    0.000    0.000 six.py:184(find_module)
       11    0.000    0.000    0.000    0.000 transforms.py:374(width)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:231(_add_array_type)
        4    0.000    0.000    0.002    0.001 spines.py:423(linear_spine)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       14    0.000    0.000    0.000    0.000 ticker.py:1640(nonsingular)
        1    0.000    0.000    0.002    0.002 subprocess.py:452(run)
        7    0.000    0.000    0.000    0.000 getlimits.py:498(__init__)
      168    0.000    0.000    0.000    0.000 rcsetup.py:59(func)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
    21/17    0.000    0.000    0.007    0.000 deprecation.py:291(wrapper)
       12    0.000    0.000    0.000    0.000 core.py:434(_check_fill_value)
        1    0.000    0.000    0.001    0.001 patches.py:2201(BoxStyle)
       59    0.000    0.000    0.000    0.000 {built-in method math.sin}
        1    0.000    0.000    0.003    0.003 platform.py:747(uname)
       20    0.000    0.000    0.000    0.000 text.py:620(_get_wrapped_text)
       12    0.000    0.000    0.000    0.000 rcsetup.py:339(_validate_cmap)
       16    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
        3    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
        5    0.000    0.000    0.000    0.000 {built-in method get_default}
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.002    0.002 __init__.py:189(_check_versions)
       27    0.000    0.000    0.000    0.000 backend_bases.py:886(set_antialiased)
        4    0.000    0.000    0.003    0.001 axis.py:1275(get_majorticklocs)
      198    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       87    0.000    0.000    0.000    0.000 markers.py:259(get_fillstyle)
       48    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2256(makeOptionalList)
       45    0.000    0.000    0.000    0.000 transforms.py:1787(__array__)
        3    0.000    0.000    0.000    0.000 _base.py:2851(<listcomp>)
        6    0.000    0.000    0.000    0.000 transforms.py:2285(__init__)
        1    0.000    0.000    0.000    0.000 conflict.py:109(ordering)
       32    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       32    0.000    0.000    0.000    0.000 axis.py:551(locator)
       13    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        8    0.000    0.000    0.028    0.004 figure.py:1483(gca)
       23    0.000    0.000    0.000    0.000 rcsetup.py:276(validate_color_or_auto)
        2    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
       24    0.000    0.000    0.000    0.000 axis.py:222(get_tick_padding)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       35    0.000    0.000    0.000    0.000 rcsetup.py:552(_validate_greaterequal0_lessequal1)
        1    0.000    0.000    0.000    0.000 pyplot.py:2058(<listcomp>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:85(_listify_validator)
       56    0.000    0.000    0.000    0.000 __init__.py:1863(<genexpr>)
       12    0.000    0.000    0.000    0.000 __init__.py:26(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:321(_resolve)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
        1    0.000    0.000    0.006    0.006 Image.py:322(preinit)
       53    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       72    0.000    0.000    0.000    0.000 markers.py:371(_set_nothing)
        3    0.000    0.000    0.000    0.000 arraysetops.py:347(intersect1d)
        8    0.000    0.000    0.000    0.000 ticker.py:1897(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       58    0.000    0.000    0.000    0.000 _methods.py:56(_all)
        7    0.000    0.000    0.000    0.000 TiffImagePlugin.py:631(_register_basic)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      218    0.000    0.000    0.000    0.000 {method 'get_closure' of 'gi.ArgInfo' objects}
        9    0.000    0.000    0.001    0.000 collections.py:746(_set_facecolor)
       10    0.000    0.000    0.005    0.000 pyparsing.py:5103(__init__)
        6    0.000    0.000    0.000    0.000 function_base.py:1645(extract)
        1    0.000    0.000    0.003    0.003 py3k.py:1(<module>)
       12    0.000    0.000    0.000    0.000 markers.py:696(_set_tickup)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        9    0.000    0.000    0.000    0.000 _pylab_helpers.py:105(get_active)
       32    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
       12    0.000    0.000    0.000    0.000 axis.py:497(_get_text1_transform)
        9    0.000    0.000    0.001    0.000 core.py:6765(__call__)
       11    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        8    0.000    0.000    0.107    0.013 pyplot.py:2260(gca)
        9    0.000    0.000    0.000    0.000 core.py:7952(asanyarray)
        3    0.000    0.000    0.000    0.000 _axes.py:4046(_parse_scatter_color_args)
        8    0.000    0.000    0.000    0.000 axis.py:889(_translate_tick_kw)
        1    0.000    0.000    0.111    0.111 backend_agg.py:429(draw)
        6    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       40    0.000    0.000    0.000    0.000 _collections_abc.py:760(__iter__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       30    0.000    0.000    0.000    0.000 __init__.py:58(__get__)
        5    0.000    0.000    0.000    0.000 transforms.py:1813(transform_path_affine)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:171(check_getitem)
        1    0.000    0.000    0.001    0.001 afm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:91(Text)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
       97    0.000    0.000    0.000    0.000 pyparsing.py:5688(<genexpr>)
       48    0.000    0.000    0.000    0.000 shape_base.py:219(_vhstack_dispatcher)
       28    0.000    0.000    0.000    0.000 axis.py:1495(convert_units)
       79    0.000    0.000    0.000    0.000 {built-in method math.radians}
       44    0.000    0.000    0.000    0.000 pyparsing.py:4266(<genexpr>)
        1    0.000    0.000    0.004    0.004 backend_gtk4.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {method 'get_width_height' of 'matplotlib.ft2font.FT2Font' objects}
      170    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      104    0.000    0.000    0.000    0.000 docstring.py:90(copy)
