         2442696 function calls (2427279 primitive calls) in 1.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      188    0.002    0.000    0.002    0.000 colors.py:1001(<listcomp>)
      303    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      604    0.002    0.000    0.002    0.000 font_manager.py:1188(score_stretch)
      414    0.002    0.000    0.003    0.000 __init__.py:1691(normalize_kwargs)
     3483    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      163    0.002    0.000    0.003    0.000 types.py:272(mro)
     2215    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x908780}
      606    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     6490    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
      604    0.002    0.000    0.003    0.000 font_manager.py:1130(score_family)
    11887    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
        1    0.002    0.002    0.004    0.004 _backend_gtk.py:41(_create_application)
     1185    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.002    0.002    0.004    0.004 backend_gtk3.py:433(__init__)
       56    0.002    0.000    0.021    0.000 text.py:290(_get_layout)
      606    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       72    0.002    0.000    0.014    0.000 lines.py:276(__init__)
     4182    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
    370/7    0.002    0.000    1.139    0.163 <frozen importlib._bootstrap>:650(_load_unlocked)
  377/376    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
       37    0.002    0.000    0.004    0.000 __init__.py:313(namedtuple)
      848    0.002    0.000    0.002    0.000 __init__.py:2014(_setattr_cm)
      357    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  533/233    0.002    0.000    0.029    0.000 sre_parse.py:435(_parse_sub)
     1185    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       37    0.001    0.000    0.002    0.000 {built-in method io.open}
